Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium
25	0.7037	0.039	0.024900000000000002	0.024300000000000002	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0
300	0.7037	0.039	0.024900000000000002	0.024300000000000002	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0
500	0.7037	0.039	0.024900000000000002	0.024300000000000002	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0
600	0.7037	0.039	0.024900000000000002	0.024300000000000002	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0
700	0.7037	0.039	0.024900000000000002	0.024300000000000002	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0
800	0.7037	0.039	0.024900000000000002	0.024300000000000002	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0
900	0.7001999999999999	0.040999999999999995	0.026699999999999998	0.0236	0.0	0.171	0.0	0.0	0.0375	0.0	0.0	0.0	0.0	0.0
1000	0.6933	0.0434	0.0286	0.021099999999999997	0.0	0.1736	0.0	0.0	0.039900000000000005	0.0	0.0	0.0	0.0	0.0
25	0.902	0.0	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.9	0.0	0.049	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.848	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.851	0.0	0.122	0.0	0.0	0.027000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.8490000000000001	0.0	0.099	0.0	0.0	0.052000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
