Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma	AlphaGammaPrime	Phase
1100	0.7391	0.0	0.1329	0.0	0.0528	0.057999999999999996	0.0	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.643415		$\gamma$
25	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.578525		$\gamma$
300	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.591457		$\gamma$
500	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59951		$\gamma$
600	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.604125		$\gamma$
700	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.609516		$\gamma$
800	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.615249		$\gamma$
900	0.7502	0.0	0.1478	0.0	0.0442	0.0405	0.0	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.622038		$\gamma$
1000	0.7502	0.0	0.1478	0.0	0.0442	0.0405	0.0	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.629302		$\gamma$
1100	0.7529	0.0	0.1295	0.0	0.0418	0.0551	0.0	0.0	0.0207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.637571		$\gamma$
25	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.586356		$\gamma$
300	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.599154		$\gamma$
500	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.606869		$\gamma$
600	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.611921		$\gamma$
700	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.617234		$\gamma$
800	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.623609		$\gamma$
900	0.5807	0.1497	0.1474	0.0255	0.0551	0.0331	0.0	0.0	0.0084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.631122		$\gamma$
